alcohol_no,name,type,rep_ingredients,ingredients,alcohol,size,prize,etc,tags,desc,food,brewery,brewery_address,brewery_page,brewery_tel,sweet,sour,scent,body
140,도구막걸리,탁주,밀,"밀, 쌀, 물엿, 효모, 조제종국, 정제효소제, 아스파탐, 젖산",6,750,,,,도구 막걸리는 1955년 도구양조장이 설립되면서 처음으로 만들어진 막걸리이다. 양조장이 위치한 포항시 남구 동해면이 옛 지명으로는 도구리라서 지명을 따서 막걸리를 만들게 되었다. 도구 막걸리는 밀과 쌀로 빚은 막걸리로 밀막걸리 특유의 구수한 향과 예스러움을 간직한 막걸리이다.,파전,동해명주,경상북도 포항시 남구 동해면 일월로 51-1,https://yangjo.com/,1030000000,4,5,1,3
141,도깨비술 11,탁주,쌀,"정제수, 쌀, 국, 효모",11,750,2019 대한민국 우리술 대축제 1위,,파티|홈술|혼술,"단양 물과 의림지 쌀, 우리밀 누룩을 사용했으며 무감미료, 무첨가물로 만들었다. 묵직하고 깊지만 달콤한 맛이 나며 뒷맛은 고소함이 남는다. 질감이 걸쭉하여 목넘김이 부드럽다.","닭강정, 통돼지 보쌈",농업회사법인 (주)도깨비양조장,충북 단양군 가곡면 사평3길 5,https://smartstore.naver.com/dokkaebisul/products/4676621051,7040000000,2,3,1,2
142,도깨비술 7,탁주,쌀,"멥쌀, 누룩, 효모, 정제수",7,750,,,파티|홈술|혼술,"도깨비술 7%는 시원한 멜론향과 바닐라향이 이채로운 술이다. 도깨비양조장에서 만든 도깨비술은 7%, 9%, 11% 세 종류가 있다. 도수에 관계없이 도깨비술이 보여주는 분명한 특징이 있는데 바로 깔끔함이다. 마시고 나서 입안에 텁텁하게 남는 느낌이 전혀 없다. 도깨비술은 우리밀로 만든 누룩을 넣고 100% 멥쌀로만 만든다. 찹쌀을 섞으면 단맛을 내기 쉽지만 술이 끈적해지기 때문에 쓰지 않는다. 대신 쌀 투입량을 늘려 단맛을 낸다. 단양은 산지라 논농사가 드물어 쌀은 인접한 제천 의림지 쌀을 가져다 쓴다. 먼저 밑술을 만들고 이틀 후 덧술을 하는 이양주 방식이다. 발효에 보름, 숙성에 사나흘이 걸린다.","마늘 정식, 쏘가리 매운탕, 메기 매운탕, 곤드레 밥",도깨비양조장,충북 단양군 가곡면 사평3길 5,https://smartstore.naver.com/dokkaebisul,070-4133-2030,3,3,2,3
143,도깨비술 9,탁주,쌀,"멥쌀, 누룩, 효모, 정제수",9,750,,,파티|홈술|혼술,"도깨비술 9%는 적당한 단맛과 부드러운 느낌, 그리고 혀 끝에 맴도는 배향이 이채로운 술이다. 도깨비양조장에서 만든 도깨비술은 7%, 9%, 11% 세 종류가 있다. 도수에 관계없이 도깨비술이 보여주는 분명한 특징이 있는데 바로 깔끔함이다. 마시고 나서 입안에 텁텁하게 남는 느낌이 전혀 없다. 도깨비술은 우리밀로 만든 누룩을 넣고 100% 멥쌀로만 만든다. 찹쌀을 섞으면 단맛을 내기 쉽지만 술이 끈적해지기 때문에 쓰지 않는다. 대신 쌀 투입량을 늘려 단맛을 낸다. 단양은 산지라 논농사가 드물어 쌀은 인접한 제천 의림지 쌀을 가져다 쓴다. 먼저 밑술을 만들고 이틀 후 덧술을 하는 이양주 방식이다. 발효에 보름, 숙성에 사나흘이 걸린다.","마늘 정식, 쏘가리 매운탕, 메기 매운탕, 곤드레 밥",도깨비양조장,충북 단양군 가곡면 사평3길 5,https://smartstore.naver.com/dokkaebisul/products/46766,070-4133-2030,3,1,5,2
144,도로시 머루주,과실주,산머루,"산머루원액, 주정",12,500,,2014 찾아가는 양조장,선물,"""도로시 머루주""는 100% 국내산 산머루로 만들어 전통옹기에서 3년 이상을 숙성한 프리미엄 머루주이다. 돌산을 쪼개에 직접 가꾼 서늘한 지하 속성 터널에서 전통옹기에서 숙성하는데 전통옹기는 용기 자체가 숨을 쉬어 오크통에서 숙성한 와인에 비해 맛과 향이 색다르다. 일교차가 크고 토질이 비옥한 경기도 파주에서 재배한 머루는 당도가 높고 신맛과 단맛이 조화롭다.","메기, 참게, 삼계탕, 오리백숙",산머루농원영농조합법인,경기도 파주시 윗배우니길 441-25,https://sanmeoru.modoo.at,031-958-4558,2,3,4,4
145,도문대작 생막걸리,탁주,쌀,"쌀, 누룩, 갯방풍나물, 정제수",10,750,,,,"방풍도가에서 생산하고 있는 방풍막걸리 ""도문대작""은 강릉 지역의 특산품인 방풍나물을 첨가해서 빚는 향약주이다. 도문대작 막걸리는 도수는 10%로 일반적으로 6%에 분포되어 있는 막걸리보다는 알코올 함량이 높다. 색은 뽀얀 두유색으로 묵직한 질감이 느껴진다. 향은 굉장히 드라이한 편이고 단맛은 거의 없고 산미가 있고 쓴맛이 많이 나는 막걸리이다. 또 탄산은 적은 편이어서 탁한 정도가 높고 입자는 곱고 부드러운 편이다.",갈비찜,방풍도가,강원도 강릉시 미노길 103,http://www.bangpungdoga.com/,010-6380-3963,3,1,3,3
146,도원결의,증류주,복숭아,"정제수, 쌀, 복숭아, 조효소제, 효모, 젖산, 정제효소제, 효소처리스테비아, 구연산, 복숭아향",15,375,,,과일류|저도수|칵테일|여름,천연 발효기법으로 복숭아를 첨가하여 빚은 증류주이다. 자연스러운 백도 복숭아의 맛과 향이 은은하게 느껴지며 목 넘김이 부드럽다. 토닉워터와 얼음을 넣어 함께하면 깔끔하게 즐길 수 있다.,"깐풍기, 갈비",농업회사법인영덕주조,경북 영덕군 강구면 소월1길 16-10,http://www.ydjujo.co.kr/,054-733-5641,1,0,5,3
147,독산 53,증류주,쌀,"쌀, 누룩, 효모, 정제수",53,250,,,소용량,"독산 53은 오산에서 재배한 세마쌀을 주원료로 누룩과 물 이외에는 인공감미료를 넣지 않고 빚어 상압증류한 전통 소주이다. 증류한 소주 원액은 유약을 바르지 않는 전통 옹기에서 100일 이상 숙성한다. 알코올 도수 53도의 고도주로 입 안에서 기화하며 퍼지는 풍미가 일품이다. 곡물, 허브, 스파이스의 향이 조화로운 소주로 온더락으로 즐기기에도 좋은 쌀소주이다.",양념 돼지 갈비,오산양조,경기도 오산시 시장길 63,https://shopping.naver.com/fresh/traditionalalcohol/stores/100301944/products/4685590303,031-374-2139,4,1,1,1
148,동강더덕주,리큐르/기타주류,더덕,"더덕, 대추구기자, 감초, 원지",20,360,2012 대한민국우리술품평회 우수상 (리큐르 부문),,,"""동강더덕주""는 천혜의 지역 강원도에서 채취한 더덕을 원료로 사용하고 몸에 좋은 대추, 오미자, 감초 등 부재료를 넣어 100일간 빚은 강원도 영월 지역특산주이다. 더덕 한뿌리가 통째로 병에 담겨 있고 은은한 갈색빛을 띄고 있어 보기만해도 건강해질듯한 술이다.",더덕 구이,영월더덕영농조합법인,강원도 영월군 주천면 솔치로 633,https://shopping.naver.com/fresh/traditionalalcohol/stores/100112684,033-372-1885,3,4,3,3
149,동래아들,탁주,쌀,"정제수, 찹쌀, 멥쌀, 밀누룩",6,750,,,무감미료,일체의 첨가물 없이 쌀과 누룩으로만 빚은 막걸리이다. 최상의 품질을 유지하기 위해 하루 500병 한정 생산하며 긴 발효시간과 숙성기간을 거쳐 탄생됐다. 마시면 마실수록 입안에 퍼지는 상큼함과 달콤함이 매력적인 탁주이다.,파전,제이케이크래프트,부산광역시 동래구 사직북로48번길 34,http://gidarim.co.kr/,051-505-8523,4,1,2,3
150,동몽,"약주, 청주",쌀,"쌀, 정제수, 단호박, 국",17,500,,2015 찾아가는 양조장,명절,"동몽 술은 말 그대로 같은 꿈, 즉 하나가 되는 것을 의미하는데 사람과 사람의 관계에서 소통을 이끌고 하나되어 연결하는 술의 특성을 살펴 만들어진 이름입니다. 동몽은 맑은술(청주)로써 홍천 찹쌀과 미니 단호박, 전통누룩을 원료로 하여 빚은 이양주(두번 빚은 술)이며, 찹쌀을 주 원료로 하여 감칠맛과 향이 뛰어나 묵직한 맛을 느낄 수 있는 술입니다.",두부 전골,예술주조,강원도 홍천군 내촌면 물걸리 508-2,http://www.ye-sul.co.kr,033-435-1120,3,4,2,3
151,"동백꽃, 제주",리큐르/기타주류,동백꽃,"동백꽃잎, 정제수, 포도당 효모",16,365,,,이색전통주|예쁜술,"화학적 색소없이 오직 동백꽃의 붉은 색으로 색을 낸 동백꽃, 제주는 제주 붉은 누룩으로 발효하여 만들었다. 3대째 내려오는 전통방식으로 주정을 전혀 첨가하지 않고 45일동안 자연발효한다. 은은한 자연탄산의 기포를 가졌으며 마치 인삼주같은 쌉싸름한 맛과 달달한 동백꽃 향을 동시에 느낄 수 있다.",흑돼지 갈칫국,제주본초협동조합 왕지케양조장,제주 제주시 한경면 고산로2길 22-13,https://jejucoop.modoo.at/?link=411ziq69,0544-6051,2,2,3,2
152,동백우리쌀생막걸리,탁주,쌀,"정제수, 쌀, 곡자, 효모, 조제종국, 정제효소, 아스파탐, 아세설팜칼륨",6,750,,,,기장 백운산 자락 지하수를 길어 술을 빚는다. 동백 양조장만의 방식으로 고두밥을 찔 때 밀가루와 쌀을 적절한 비율로 섞어 시골에서 뚝배기에 담아 먹던 옛 막걸리의 맛을 재현하려했다. 탄산의 상큼하면서도 부드럽고 단 맛을 느낄 수 있다.,"고갈비, 편육",(주)동백양조,부산광역시 기장군 정관읍 정관로 266,,051-727-1472,4,4,2,3
153,동정춘,탁주,쌀,"쌀, 누룩, 정제수",8,500,,,고문헌|무감미료,"동정춘은 옛 문헌에서 명주로 불린 술로 술을 빚을 때 거의 물이 들어가지 않아 술을 빚기가 여간 어려운 술이다. 발효과정에서 얻어지는 술의 양이 매우 적어서 그 만큼 값비싼 술이다. 동정춘에 대한 기록은 동정춘에 대한 기록은 《조선무쌍신식요리제법, 1924》과 《임원십육지, 1827년경》에서 찾을 수 있다. 인공첨가물이 들어가지 않은 자연 발효에 의한 향과 맛이 아주 좋아 고급방향주로 취급되는 술이다.",파전,농업회사법인㈜산수,강원도 홍천군 화촌면 야시대로 211-57,sansoo.modoo.at,070-4195-0772,1,4,2,4
154,동짓달 기나긴 밤,"약주, 청주",쌀,"찹쌀, 멥쌀, 복분자, 전통누룩, 정제수",16,500,,2015 찾아가는 양조장,홈술|예쁜술|겨울,쌀과 복분자를 원료로 하여 빚은 전통방식의 약주이다. 복분자 고유의 풍미를 그대로 느낄 수 있으며 레드와인을 연상시키는 고운 색이 특징이다. 전체적으로 드라이한 맛에 신맛과 단맛을 살짝 느낄 수 있다.,"삼계탕, 장어, 고등어구이",예술주조,강원도 홍천군 내촌면 물걸리 508-2,http://www.ye-sul.co.kr,033-435-1120,1,1,4,3
155,동학 1957,"약주, 청주",쌀,"쌀, 구연산, 효모, 젖산, 정제효소제, 국, 주정, 정제수",13,"375, 700",,,선물|홈술|혼술,"""동학1957""은 물맑은 충주에 자리잡은 고헌정영농조합법인에서 만든 청주이다. 2014년부터 호주 등 해외로 수출하고 있으며 2018년에는 평창 동계올림픽 공식 판매주로 선정되어 세계인의 입맛을 사로잡았다. 품질 좋은 국내산 쌀로 빚어 저온 냉동여과하여 숙성한 제품으로 쌀의 풍미가 한층 살아 있는 술이다.",한식,고헌정영농조합법인,충북 충주시 산척면 샛강영길 39,https://smartstore.naver.com/gohunjung/products/4765578776,043-855-3333,1,1,5,3
156,동해동동주,탁주,쌀,쌀,6,750,,,무감미료,쌀이 동동 뜬 옛 동동주의 모습을 연상시켜 아직까지 많은 애주가들에게 사랑을 받고 있는 술입니다. 청량감과 단맛이 적절하게 어우러져 부드러운 맛과 시원함을 동시에 느낄 수 있습니다.,"돼지고기수육, 두부김치, 해물파전",동해명주,경북 포항시 남구 동해면 일월로 51-1,www.yangjo.com,054-284-3049,3,3,1,3
157,두레앙 일반증류주,증류주,포도,포도,35,750,"2020 대한민국우리술품평회 최우수상 (일반증류주 부문), 2019 대한민국우리술품평회 최우수상 (일반증류주 부문), 2018 대한민국우리술품평회 최우수상 (일반증류주 부문), 2016 대한민국우리술품평회 최우수상 (일반증류주 부문), 2016 몽드셀렉션 벨기에 금상 수상, 2015 대한민국우리술품평회 최우수상 (일반증류주 부문), 2015 몽드셀렉션 벨기에 금상, 2015 센프란시스코 스피릿경연대회 동상, 2014 대한민국우리술품평회 동상 (일반증류주 부문), 2011 대한민국우리술품평회 대상 (일반증류주 부문), 2009 한국전통주 품평회 은상",,과일류,"1996년 8월 정부의 포도가 공식품 수입개방선언으로 포도가격이 하락하여 수입개방대응의 일환으로 농가들이 출자하여 회사를 설립, 제품을 생산하게 되었다. 두레앙은 거봉을 이용해 포도주를 증류한 술로서 향이 일품이며, 감압식으로 증류하기 때문에 목 넘김이 좋다. 증류과정에서 두통을 유발하는 초류와 후류를 제거해 깔끔한 맛을 자랑한다.",고기 채소 볶음,(주)두레양조,충남 천안시 서북구 입장면 율목길17-6,http://duraean.co.kr/index.html,416000000,2,1,2,2
158,두레앙22,증류주,포도,"포도, 메타중아황산칼륨, 효모, 설탕, 정제수",22,375,"2009년 한국 전통주 품평회(증류식소주부문)은상 수상, 2011년 대한민국 우리술 품평회 (일반증류주부문)대상 수상, 2015몽드셀렉션(일반증류주)골드상 수상, 2016대한민국 우리술 품평회(일반증류주부문) 최우수상 수상, 2016년몽드셀렉션(일반증류주)골드상 수상",,과일류,와인을 감압증류한 명품 증류주의 35% 알코올을 22%로 낮춘 제품입니다. 목넘김이 더욱 부드러우며 포도주 증류주의 향이 있어 일반 술로 품격이 다른 제품입니다.,"삼겹살, 소고기, 생선 구이",(주)두레양조,충남 천안시 서북구 입장면 율목길17-6,http://duraean.co.kr/index.html,416000000,2,1,3,3
159,두레앙목통숙성주,증류주,거봉,거봉,35,500,,,과일류|선물,거봉포도를 원료로 포도주를 만들어 감압식증류기로 증류한 후 프랑스산 오크통에 숙성시킨 제품이다. 입과 코를 통하여 한 모금 머금은 술은 초콜릿 향과 오크 향이 입안에 은근하게 퍼지면서 마치 참나무 숲에서 불어오는 시원한 바람을 마주하고 서 있는 듯합니다.,"땅콩, 치즈, 소고기, 삼겹살",(주)두레양조,충남 천안시 서북구 입장면 율목길17-6,http://duraean.co.kr/index.html,416000000,0,0,3,3
160,두레앙와인,과실주,거봉,거봉,12,750,2007 대한민국주류품평회 입선,,가성비,와인의 떫은 맛을 내는 타닌 성분이 강하지 않고 특유의 감칠맛이 뛰어나 와인 입문자와 식전주로 제격인 와인입니다. 와인 제조에 사용하는 천안 입장 지역의 거봉 포도는 알이 굵고 단맛이 높아 남녀노소 누구나 좋아하는 명품 포도입니다.,"육류, 치즈",(주)두레양조,충남 천안시 서북구 입장면 율목길17-6,http://duraean.co.kr/index.html,416000000,5,1,5,4
161,두륜탁주,탁주,쌀,"쌀, 밀가루, 누룩, 당귀",6,1700,,,가성비,"삼산막걸리는 쌀과 밀의 적절한 배합으로 쌀특유의 센맛을 조절하고, 대대로 당귀를 함께 숙성하여 걸러낸 생막걸리로 목넘김이 깔끔하고 은은한 향과 감칠맛, 청량감이 뛰어납니다. 기분좋은 누룩향이 느껴지는 생막걸리는 10여종의 필수 아미노산과 유산균이 풍부한 우리민족 고유의 전통주입니다.",육류,삼산주조장,전라남도 해남군 삼산면 고산로 583-1,https://samsanjujo.com/,061-534-5507,2,3,2,5
162,두리향,증류주,쌀,"찹쌀, 누룩, 정제수",43,500,,,고문헌,"""두리향""은 ""석탄주""를 전통방식으로 증류한 술이다. ""석탄주""는 애석할 석(惜)자 삼킬 탄(呑)으로서 옛 고서에서 술의 맛과 향이 우수하여 감히 삼키기가 아깝다라고 전해오고 있다. 임원십육지를 비롯해서 양주방, 음식방문, 조선무쌍신식요리제법 등 여러 고문에서 ""석탄향""에 대한 기록을 찾을 수 있는 것으로 보아 당시에는 상당히 대중적인 술이었음을 알 수 있다. ""석탄주""를 증류하여 전통 옹기에서 오랜 기간 숙성하여 깊은 맛과 풍부한 향이 특징이다.","얼음, 소다, 육전, 갈비찜",케이소주,"전북 전주시 완산구 중산중앙로 27, 3층",https://ksoju.modoo.at/,010-4651-5595,0,0,1,4
163,딸링 막걸리,탁주,쌀,"물, 쌀, 올리고당, 딸기, 누룩, 조제종국, 효모, 아스파탐",5.5,650,,,,딸기를 듬뿍 넣어 딸기향이 가득한 산뜻한 프리미엄 막걸리로 너무 차갑지 않은 온도로 마시면 더욱 조화롭고 향기로운 맛을 느낄 수 있다.,파전,다도참주가,전남 나주시 다도면 신동리 426-6번지,https://smartstore.naver.com/chamjuga/products/5938288887,803000000,4,4,2,5
164,라이스퐁당,"약주, 청주",쌀,"정제수, 찹쌀, 누룩, 삼지구엽초, 감초",13,500,,,홈술|혼술,"부산 찹쌀과 누룩, 정제수를 사용해 찹쌀 이양주로 빚은 약주이다. 삼지구엽초와 감초 등 한약재를 우린 물로 빚어 풍미를 더했다. 전통방식의 저온발효로 찹쌀을 발효해 감칠맛을 느낄 수 있다.","생선회, 과일, 스테이크",벗드림양조장,부산광역시 북구 만덕동 921-13번지 2층,https://smartstore.naver.com/butdream,051-337-3762,4,1,4,3
165,라이코펜 토마토와인,리큐르/기타주류,토마토,토마토,12,"350, 500",2011 대한민국우리술품평회 장려상 (기타주류 부문),,이색전통주,"대구시 달성군은 예로부터 토마토생산지로 유명하며 토마토는 장기보관이 어려워 홍수출하로 가격이 폭락하여 농민들이 큰 피해를 보는 경우가 많은데, 이에 농촌진흥청과 대구시, 달성군농업기술센터와 계명대식품공학과가 협력하여 세계최초로 토마토와인을 생산하여 특허출원하였다. 신의 선물이라 불리는 토마토와 신의 물방울인 와인의 만남으로 더욱 특별하며 대구달성군에서 생산된 100% 토마토과육을 분쇄· 발효· 숙성시켜 토마토고유의 맛과 풍미가 살아 있다. 달콤하고 부드러운 스위트타입과 쌉쌀한 맛의 드라이타입이 있다.",골뱅이,토마토와인주식회사,,,053-615-0011,2,2,4,3
166,레돔 내추럴 스파클링 로제와인,과실주,포도,포도,7.5,750,,,파티|저도수,"""레돔 내추럴 스파클링 로제와인""은 프랑스 농부가 한국 포도로 만든 와인이다. 내추럴 로제, 말 그대로 가벼운 분홍빛 와인이다. 여기에 천연 발효된 버블이 들어간 것이 스파클링한 맛을 전해준다. 레드와인의 묵직함과는 달리 알코올 도수가 7.5%로 비교적 낮아 신선하고 심플한 맛이 나서 가볍게 마실 수 있는 제품이다. 프랑스 농가의 전통발효기법으로 만들고 여타의 식품 첨가물을 넣지 않은 자연주의 와인이다.",빵,작은알자스,충북 충주시 엄정면 도자기길 32,https://shopping.naver.com/fresh/traditionalalcohol/stores/100308760,010-8607-2856,4,3,4,2
167,레돔 시드르,과실주,사과,사과,6,750,,,파티|저도수,"은은한 사과향이 묻어나오는 스파클링 사과와인으로, 제조시 설탕이나 효모를 넣지 않고 과일 자연 그대로의 효모로 발효시킨다. 야생효모들이 천천히 발효하며 천연탄산과 사과껍질의 향의 독특함을 만들어낸다. 인위적인 모든 것을 빼고 자연이 주는 그대로의 사과 와인을 느낄 수 있다. 가벼운 바디감과 천연 기포의 청량감이 뛰어나며, 신맛과 단맛 역시 조화롭다.","돼지고기, 피자, 샌드위치",작은알자스,충북 충주시 엄정면 도자기길 32,https://shopping.naver.com/fresh/traditionalalcohol/stores/100308760,010-8607-2856,3,4,3,4
168,레드 와인 500,과실주,거봉,거봉,12,500,,,,와이너리에서 자가 생산한 MBA(머루포도)를 11월 초 서리가 내릴 때 높은 당도의 포도를 수확하여 당을 첨가하지 않고 발효한 와인입니다. 25도의 고온에서 발효되며 2차 젖산 발효를 거치면서 풍부한 아로마틱 향이 생성되고 1년의 오크숙성으로 깊은 오크향이 우러나와 부드럽고 과일향이 풍부합니다.,"돼지갈비, 갈비찜, 한식",고도리 와이너리,경북 영천시 고경면 고도리 494-3,http://고도리와인.com,054-335-3174,4,1,3,3
169,레드듀 RED DEW,과실주,머루,머루,13,750,2011 대한민국우리술품평회 최우수상 (과실주 부문),,,일교차가 큰 석회암지대에서 재배된 100% 친환경 무농약인증산 머루원료를 발효시켜 제조한 친환경와인이다. 머루특유의 묵직한 맛에 신맛과 단맛이 잘 어우러져 있다.,파스타,동강산머루영농조합법인,강원도 영월군 영월읍 동강로 1431,,033-373-1477,3,3,5,1
170,려,증류주,쌀,"쌀, 정제수, 고구마",25,"375, 500",2019 대한민국 우리술품평회 증류주 최우수상,,선물,"려(驪)증류소주 25도는 여주의 자연에서 잘 자란 최고급의 고구마와 쌀로 빚어 상압증류를 통한 고구마 소주의 향긋한 향과 감압증류한 쌀소주의 감칠맛을 최적의 황금비율로 혼합하여 기존 증류소주와는 다른 가치를 담았다. 자연이 만들어낸 특별한 재료 각각의 개성을 살리기 위해 고구마와 쌀을 각기 다른 방식으로 증류한다, 고구마는 그 향긋한 향이 잘 나타나도록 아로마성 물질이 증류되도록 상압 증류 과정을 거치며, 쌀은 특유의 부드러움과 감칠맛을 더욱 잘 나타낼 수 있는 감압증류 방식으로 증류한다. 증류된 술은 재료 본연의 개성을 드러낼 수 있도록 최적의 황금 비율로 블랜딩하고 옹기 속에서 숙성 과정을 거쳐 완성된다.",소고기,국순당,강원도 횡성군 둔내면 현천리 120,http://www.ksdb.co.kr,033-340-4300,0,0,4,3
171,로아19레드,증류주,사과,"사과, 설탕, 효모, 메타중아황산칼륨, 셀룰라아제, 정제수",19,350,,,,로아를 만드는 한방울 한방울의 시간은 한국적인 정성스러움을 로아의 맑고 투명함은 비움과 여유 그리고 풍류를 의미합니다. 사과를 사용하여 술의 풍미를 부드럽게 감싸주고 은은하며 그윽하게 퍼지는 사과향을 느낄 수 있습니다.,소고기,배혜정도가,경기도 화성시 정남면 서봉로 835,http://www.baedoga.co.kr/,031-354-9376,2,1,4,2
172,로아19옐로우,증류주,배,"배, 쌀, 물, 효모, 국, 젖산",19,350,,,과일류,로아 19도 옐로우는 국내산 쌀과 배를 원료로 사용하여 빚은 술을 상압동 증류기를 통해 증류하여 장기간 숙성한 제품입니다. 흰 빌깔의 이슬이라는 뜻을 담은 프리미엄 증류주로써 로아를 만드는 한방울 한방울의 시간은 한국적인 정성스러움을 로아의 맑고 투명함은 비움과 여유 그리고 풍류를 의미합니다. 배를 사용하여 고도주의 풍미를 부드럽게 감싸주고 은은하며 그윽하게 퍼지는 배향을 느낄 수 있습니다.,"오돌뼈, 숯불 닭발, 훈제오리",배혜정도가,경기도 화성시 정남면 서봉로 835,http://www.baedoga.co.kr/,031-354-9376,1,0,5,2
173,로아19화이트,증류주,쌀,"쌀, 국, 효모, 젖산, 물, 주정, 벌꿀, 아카시아향",19,350,,,,로아를 만드는 한방울 한방울의 시간은 한국적인 정성스러움을 로아의 맑고 투명함은 비움과 여유 그리고 풍류를 의미합니다. 쌀을 사용하여 고도주의 풍미를 부드럽게 감싸주고 은은하며 그윽하게 퍼지는 쌀향을 느낄 수 있습니다.,"연포탕, 조개탕",배혜정도가,경기도 화성시 정남면 서봉로 835,http://www.baedoga.co.kr/,031-354-9376,4,0,1,3
174,로아40레드,증류주,사과,사과,40,350,,,과일류,로아를 만드는 한방울 한방울의 시간은 한국적인 정성스러움을 로아의 맑고 투명함은 비움과 여유 그리고 풍류를 의미합니다. 사과를 사용하여 고도주의 풍미를 부드럽게 감싸주고 은은하며 그윽하게 퍼지는 사과향을 느낄 수 있습니다.,빵,배혜정도가,경기도 화성시 정남면 서봉로 835,http://www.baedoga.co.kr/,031-354-9376,1,0,3,2
175,로아40옐로우,증류주,배,"쌀, 배",40,350,,,,"로아 40도 옐로우는 국내산 쌀과 배를 원료로 사용하여 빚은 술을 상압동 증류기를 통해 증류하여 장기간 숙성한 제품입니다. ""흰 빌깔의 이슬""이라는 뜻을 담은 프리미엄 증류주로써 로아를 만드는 한방울 한방울의 시간은 한국적인 정성스러움을 로아의 맑고 투명함은 비움과 여유 그리고 풍류를 의미합니다. 배를 사용하여 고도주의 풍미를 부드럽게 감싸주고 은은하며 그윽하게 퍼지는 배향을 느낄 수 있습니다.",갈치젓,배혜정도가,경기도 화성시 정남면 서봉로 835,http://www.baedoga.co.kr/,031-354-9376,0,0,4,1
176,로아40퍼플,증류주,포도,"포도, 효모, 설탕, 메타중아황산칼륨, 정제수",40,350,,,과일류,로아를 만드는 한방울 한방울의 시간은 한국적인 정성스러움을 로아의 맑고 투명함은 비움과 여유 그리고 풍류를 의미합니다. 포도를 사용하여 고도주의 풍미를 부드럽게 감싸주고 은은하며 그윽하게 퍼지는 포도향을 느낄 수 있습니다.,빵,배혜정도가,경기도 화성시 정남면 서봉로 835,http://www.baedoga.co.kr/,031-354-9376,3,1,3,3
177,로아40화이트,증류주,쌀,"쌀, 물, 국, 효모, 젖산, 주정, 벌꿀, 아카시아향",40,350,,,,로아를 만드는 한방울 한방울의 시간은 한국적인 정성스러움을 로아의 맑고 투명함은 비움과 여유 그리고 풍류를 의미합니다. 쌀을 사용하여 고도주의 풍미를 부드럽게 감싸주고 은은하며 그윽하게 퍼지는 쌀향을 느낄 수 있습니다.,"삼겹살, 스테이크, 곱창, 육사시미",배혜정도가,경기도 화성시 정남면 서봉로 835,http://www.baedoga.co.kr/,031-354-9376,1,0,3,2
178,로얄 안동소주,증류주,쌀,쌀,45,"600, 800","2012 대한민국우리술품평회 장려상 (증류식소주 부문), 2013 대한민국우리술품평회 최우수상 (증류식소주 부문), 2014 대한민국우리술품평회 최우수상 (증류식소주 부문), 2014 SWSC 은상2014 IWSC 금상, 2014 Monde-selection 금상",,,"고려후기 일본정벌 때문에 안동에 주둔한 원나라군이 군사용으로 빚었던 소주가 민간에 전래되어 내려온 것이 안동소주의 기원이다. 로얄 안동소주는 우리 쌀 100% 순곡주로 만들었으며 빨리 취하고, 빨리 깨며, 숙취가 없고 뒤가 깨끗하다. 15년간의 장기 숙성으로 원숙미의 증가와 더불어 새로운 고유의 향미가 형성되어 있다.",삼겹살,(농)유토피아㈜,경북 안동시 남후면 큰광음길 107,http://www.sojumall.com/,070-7439-3129,1,0,2,4
179,로제와인,과실주,포도,포도,12,550,2019 대한민국 우리술품평회 과실주 우수상,,선물|홈술,"포도의 고장 영동에서 친환경 유기농법으로 재배한 켐벨포도로 만들었으며, 산미가 풍부하고 옅은 장미향이 느껴집니다.",빵,갈기산포도농원,충북 영동군 학산면 모리1길 23,,043-743-8733,1,2,4,3
180,루드베리,과실주,사과,"사과즙, 정제수, 딸기퓌레, 건조레몬그라스, 탄산가스, 동결건조딸기분말, 바질잎, 사과산, 효모, 메타중아황산칼륨, 아황산류",4.5,750,,,과일류|탄산,로컬 딸기로 시작하여 상큼한 바질로 마무리되는 탄산 톡톡 Strawberry Cider. 로컬 사과와 달콤한 딸기에 더해진 스파클링의 경쾌함을 느낄 수 있는 스윗 사이다이다.,"호두파이, 사과파이, 딸기파이, 비빔국수",댄싱사이더 컴퍼니,충청북도 충주시 중앙탑면 인담길 35-1,https://www.dancingcider.com/,438000000,2,2,4,2
181,르깔롱,리큐르/기타주류,대나무,"정제수, 주정, 고과당, 죽력, 메론후레바, 레이지라임, 코코넛향, 윌튼스카이아이싱칼라",16,500,,대한민국 식품명인 제22호 양대수,과일류|칵테일,"르깔롱은 추성주로 22대 대한민국 식명인에 지정된 양대수 명인이 출시한 젊은감각의 전통주이다. 담양대나무죽력과 멜론, 코코넛향 등 첨가물들의 어울림으로 다양한 맛과 향이 있는 조화로운 리큐르주이다. 오렌지주스나 에너지음료 등으로 다양한 칵테일을 만들 수 있는 메인주류로써 풍부한 향과 풍미가 있는 술이다. 국내 클럽에서 주로 판매되는 수입주류를 대체할 수 있는 최초의 클럽용 전통주로써 위축된 전통주 시장을 활성화 시킬수 있는 발판을 마련했다.",열대과일,추성고을,전남 담양군 용면 추령로 29,http://www.chusungju.co.kr,061-383-3011,3,1,4,1
